,crop_time,image_time,human_len,ai_len,prob,similarity,correct
38,4.614,15.487047653264526,10,8,0.9107434749603271,0.1111111111111111,1
39,1.294,4.343354933533657,18,16,0.8292950987815857,0.8235294117647058,0
41,4.516,15.158107325995365,6,6,0.9977983236312866,1.0,0
42,2.05,6.880894601038638,4,4,0.9786751866340636,1.0,0
43,2.179,11.713644076390063,8,8,0.998361110687256,1.0,1
44,1.423,7.649617035659963,9,3,0.1961917281150818,0.16666666666666666,1
45,0.645,3.46732465776576,10,13,0.5713939666748047,0.17391304347826084,1
46,1.67,8.977414230184214,10,9,0.954367220401764,0.7368421052631579,1
47,1.175,5.336,1,6,0.6931310296058655,0.0,1
48,0.751,5.583,1,3,0.5226141214370728,0.0,1
49,2.431,16.636211172834674,13,12,0.9997388124465942,0.96,0
50,5.692,38.95241217432127,13,12,0.9565467834472656,0.08,0
51,2.448,16.75254831390345,11,12,0.8921283483505249,0.7826086956521741,0
